GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
waffle-shiro,waffle.shiro,AbstractWaffleRealm,31,136,7,9,8,35,6,9,0,7
waffle-shiro,waffle.shiro,GroupMappingWaffleRealm,0,59,1,5,0,16,1,6,0,4
waffle-shiro,waffle.shiro,WaffleFqnPrincipal,42,46,2,2,10,9,3,5,2,4
waffle-shiro,waffle.shiro.negotiate,NegotiateAuthenticationStrategy,20,0,4,0,4,0,4,0,2,0
waffle-shiro,waffle.shiro.negotiate,NegotiateToken,81,0,2,0,26,0,16,0,15,0
waffle-shiro,waffle.shiro.negotiate,NegotiateAuthenticationRealm,113,0,8,0,31,0,8,0,4,0
waffle-shiro,waffle.shiro.negotiate,NegotiateInfo,21,0,0,0,6,0,3,0,3,0
waffle-shiro,waffle.shiro.negotiate,NegotiateAuthenticationFilter,343,0,18,0,87,0,31,0,22,0
waffle-shiro,waffle.shiro.negotiate,AuthenticationInProgressException,3,0,0,0,1,0,1,0,1,0
waffle-shiro,waffle.shiro.dynamic,DynamicAuthenticationFilter.WrapFormAuthenticationFilter,19,0,0,0,5,0,3,0,3,0
waffle-shiro,waffle.shiro.dynamic,DynamicAuthenticationFilter.WrapNegotiateAuthenticationFilter,19,0,0,0,5,0,3,0,3,0
waffle-shiro,waffle.shiro.dynamic,DynamicAuthenticationFilter,55,0,6,0,12,0,7,0,4,0
