GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
waffle-bom/waffle-jna,waffle.servlet.spi,NegotiateSecurityFilterProvider,259,0,24,0,64,0,21,0,9,0
waffle-bom/waffle-jna,waffle.servlet.spi,BasicSecurityFilterProvider,97,0,4,0,23,0,11,0,9,0
waffle-bom/waffle-jna,waffle.servlet.spi,SecurityFilterProviderCollection,278,0,22,0,56,0,22,0,11,0
waffle-bom/waffle-jna,waffle.util.cache,Cache,27,0,2,0,7,0,2,0,1,0
waffle-bom/waffle-jna,waffle.util.cache,CaffeineCacheSupplier,8,0,0,0,2,0,2,0,2,0
waffle-bom/waffle-jna,waffle.util.cache,CaffeineCache,34,0,0,0,9,0,5,0,5,0
waffle-bom/waffle-jna,waffle.servlet,WindowsPrincipal,220,0,16,0,53,0,26,0,16,0
waffle-bom/waffle-jna,waffle.servlet,NegotiateRequestWrapper,21,0,0,0,7,0,5,0,5,0
waffle-bom/waffle-jna,waffle.servlet,NegotiateSecurityFilter,813,0,93,0,211,0,69,0,18,0
waffle-bom/waffle-jna,waffle.servlet,WaffleInfoServlet,214,0,10,0,54,0,11,0,6,0
waffle-bom/waffle-jna,waffle.servlet,AutoDisposableWindowsPrincipal,18,0,2,0,8,0,5,0,4,0
waffle-bom/waffle-jna,waffle.servlet,CorsAwareNegotiateSecurityFilter,71,0,4,0,27,0,7,0,5,0
waffle-bom/waffle-jna,waffle.jaas,UserPrincipal,30,0,4,0,10,0,6,0,4,0
waffle-bom/waffle-jna,waffle.jaas,WindowsLoginModule,439,0,41,0,103,0,37,0,14,0
waffle-bom/waffle-jna,waffle.jaas,RolePrincipal,30,0,4,0,10,0,6,0,4,0
waffle-bom/waffle-jna,waffle.util,WaffleInfo,543,0,27,0,132,0,23,0,9,0
waffle-bom/waffle-jna,waffle.util,NtlmMessage,69,0,8,0,8,0,7,0,3,0
waffle-bom/waffle-jna,waffle.util,CorsPreFlightCheck.new ArrayList() {...},15,0,0,0,5,0,1,0,1,0
waffle-bom/waffle-jna,waffle.util,AuthorizationHeader,171,0,32,0,38,0,28,0,12,0
waffle-bom/waffle-jna,waffle.util,NtlmServletRequest,31,0,4,0,3,0,4,0,2,0
waffle-bom/waffle-jna,waffle.util,CorsPreFlightCheck,69,0,12,0,21,0,8,0,2,0
waffle-bom/waffle-jna,waffle.util,SPNegoMessage,165,0,26,0,28,0,16,0,3,0
waffle-bom/waffle-jna,waffle.windows.auth,WindowsAccount,52,0,4,0,16,0,9,0,7,0
waffle-bom/waffle-jna,waffle.windows.auth,PrincipalFormat,44,0,0,0,5,0,1,0,1,0
waffle-bom/waffle-jna,waffle.windows.auth.impl,WindowsComputerImpl,77,0,7,0,18,0,10,0,5,0
waffle-bom/waffle-jna,waffle.windows.auth.impl,WindowsCredentialsHandleImpl,81,0,8,0,20,0,9,0,5,0
waffle-bom/waffle-jna,waffle.windows.auth.impl,WindowsDomainImpl.TrustDirection,34,0,0,0,4,0,1,0,1,0
waffle-bom/waffle-jna,waffle.windows.auth.impl,WindowsIdentityImpl,140,0,16,0,30,0,18,0,10,0
waffle-bom/waffle-jna,waffle.windows.auth.impl,WindowsAuthProviderImpl.ContinueContext,9,0,0,0,4,0,1,0,1,0
waffle-bom/waffle-jna,waffle.windows.auth.impl,WindowsAccountImpl,36,0,0,0,12,0,8,0,8,0
waffle-bom/waffle-jna,waffle.windows.auth.impl,WindowsSecurityContextImpl,218,0,24,0,61,0,31,0,18,0
waffle-bom/waffle-jna,waffle.windows.auth.impl,WindowsAuthProviderImpl,310,0,28,0,70,0,26,0,11,0
waffle-bom/waffle-jna,waffle.windows.auth.impl,WindowsDomainImpl.TrustType,74,0,0,0,8,0,1,0,1,0
waffle-bom/waffle-jna,waffle.windows.auth.impl,WindowsIdentityImpersonationContextImpl,17,0,2,0,6,0,3,0,2,0
waffle-bom/waffle-jna,waffle.windows.auth.impl,WindowsDomainImpl,83,0,16,0,23,0,13,0,5,0
waffle-bom/waffle-jna,waffle.windows.auth.impl,WindowsSecurityContextImpersonationContextImpl,30,0,4,0,10,0,4,0,2,0
waffle-bom/waffle-shiro,waffle.shiro,GroupMappingWaffleRealm,59,0,6,0,16,0,7,0,4,0
waffle-bom/waffle-shiro,waffle.shiro,AbstractWaffleRealm,159,0,14,0,43,0,14,0,7,0
waffle-bom/waffle-shiro,waffle.shiro,WaffleFqnPrincipal,88,0,4,0,19,0,8,0,6,0
waffle-bom/waffle-shiro,waffle.shiro.negotiate,NegotiateAuthenticationStrategy,20,0,4,0,4,0,4,0,2,0
waffle-bom/waffle-shiro,waffle.shiro.negotiate,NegotiateToken,81,0,2,0,26,0,16,0,15,0
waffle-bom/waffle-shiro,waffle.shiro.negotiate,NegotiateAuthenticationRealm,113,0,8,0,33,0,8,0,4,0
waffle-bom/waffle-shiro,waffle.shiro.negotiate,NegotiateInfo,21,0,0,0,6,0,3,0,3,0
waffle-bom/waffle-shiro,waffle.shiro.negotiate,NegotiateAuthenticationFilter,344,0,18,0,86,0,31,0,22,0
waffle-bom/waffle-shiro,waffle.shiro.negotiate,AuthenticationInProgressException,3,0,0,0,1,0,1,0,1,0
waffle-bom/waffle-shiro,waffle.shiro.dynamic,DynamicAuthenticationFilter.WrapFormAuthenticationFilter,19,0,0,0,5,0,3,0,3,0
waffle-bom/waffle-shiro,waffle.shiro.dynamic,DynamicAuthenticationFilter.WrapNegotiateAuthenticationFilter,19,0,0,0,5,0,3,0,3,0
waffle-bom/waffle-shiro,waffle.shiro.dynamic,DynamicAuthenticationFilter,55,0,6,0,11,0,7,0,4,0
waffle-bom/waffle-spring-boot-autoconfigure2,waffle.spring.boot,WaffleAutoConfiguration,148,0,2,0,37,0,12,0,11,0
waffle-bom/waffle-spring-boot-autoconfigure2,waffle.spring.boot,WaffleProperties,40,0,0,0,16,0,9,0,9,0
waffle-bom/waffle-spring-boot-autoconfigure2,waffle.spring.boot,WaffleProperties.SingleSignOnProperties,53,0,0,0,17,0,9,0,9,0
waffle-bom/waffle-spring-security5,waffle.spring,NegotiateSecurityFilter,302,0,24,0,92,0,34,0,22,0
waffle-bom/waffle-spring-security5,waffle.spring,WindowsAuthenticationProvider,160,0,4,0,47,0,20,0,18,0
waffle-bom/waffle-spring-security5,waffle.spring,WindowsAuthenticationToken,82,0,6,0,20,0,13,0,10,0
waffle-bom/waffle-spring-security5,waffle.spring,DelegatingNegotiateSecurityFilter,188,0,10,0,73,0,19,0,14,0
waffle-bom/waffle-spring-security5,waffle.spring,NegotiateSecurityFilterEntryPoint,42,0,2,0,15,0,6,0,5,0
waffle-bom/waffle-spring-security5,waffle.spring,FqnGrantedAuthorityFactory,36,0,4,0,10,0,4,0,2,0
waffle-bom/waffle-spring-security5,waffle.spring,GuestLoginDisabledAuthenticationException,4,0,0,0,2,0,1,0,1,0
waffle-bom/waffle-tests,waffle.mock,MockWindowsSecurityContext,47,0,0,0,16,0,11,0,11,0
waffle-bom/waffle-tests,waffle.mock,MockWindowsImpersonationContext,4,0,0,0,2,0,2,0,2,0
waffle-bom/waffle-tests,waffle.mock,MockWindowsAuthProvider,82,0,4,0,20,0,12,0,10,0
waffle-bom/waffle-tests,waffle.mock,MockWindowsAccount,57,0,2,0,15,0,7,0,6,0
waffle-bom/waffle-tests,waffle.mock,MockWindowsIdentity,65,0,2,0,15,0,9,0,8,0
waffle-bom/waffle-tests,waffle.mock.http,SimpleHttpResponse.new ServletOutputStream() {...},15,0,0,0,5,0,4,0,4,0
