GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
waffle-filter/waffle-tomcat7,waffle.apache,WaffleAuthenticatorBase,108,200,4,8,28,47,7,19,5,15
waffle-filter/waffle-tomcat7,waffle.apache,WindowsRealm,0,9,0,0,0,4,0,4,0,4
waffle-filter/waffle-tomcat7,waffle.apache,MixedAuthenticator,99,416,16,28,24,97,13,16,0,7
waffle-filter/waffle-tomcat7,waffle.apache,NegotiateAuthenticator,70,238,11,13,18,57,9,7,0,4
waffle-filter/waffle-tomcat7,waffle.apache,GenericWindowsPrincipal,22,151,3,9,6,33,4,13,1,8
waffle-filter/waffle-jna,waffle.servlet.spi,NegotiateSecurityFilterProvider,213,45,20,4,52,12,16,5,6,3
waffle-filter/waffle-jna,waffle.servlet.spi,BasicSecurityFilterProvider,80,17,4,0,17,6,8,3,6,3
waffle-filter/waffle-jna,waffle.servlet.spi,SecurityFilterProviderCollection,134,144,10,12,28,28,9,13,4,7
waffle-filter/waffle-jna,waffle.servlet,WindowsPrincipal,106,114,11,5,25,28,17,9,7,9
waffle-filter/waffle-jna,waffle.servlet,NegotiateRequestWrapper,21,0,0,0,7,0,5,0,5,0
waffle-filter/waffle-jna,waffle.servlet,NegotiateSecurityFilter,570,237,69,24,146,66,54,15,11,7
waffle-filter/waffle-jna,waffle.servlet,WaffleInfoServlet,202,0,10,0,52,0,10,0,5,0
waffle-filter/waffle-jna,waffle.servlet,AutoDisposableWindowsPrincipal,18,0,2,0,8,0,5,0,4,0
waffle-filter/waffle-jna,waffle.servlet,CorsAwareNegotiateSecurityFilter,38,33,3,1,16,11,4,3,2,3
waffle-filter/waffle-jna,waffle.jaas,GroupPrincipal,94,30,13,1,22,9,11,3,4,3
waffle-filter/waffle-jna,waffle.jaas,UserPrincipal,2,28,1,3,1,9,1,5,0,4
waffle-filter/waffle-jna,waffle.jaas,WindowsLoginModule,202,266,19,24,41,67,14,24,2,12
waffle-filter/waffle-jna,waffle.jaas,RolePrincipal,0,30,0,4,0,10,0,6,0,4
waffle-filter/waffle-jna,waffle.util,WaffleInfo,239,304,20,7,55,77,15,8,2,7
waffle-filter/waffle-jna,waffle.util,NtlmMessage,0,69,0,8,0,8,0,7,0,3
waffle-filter/waffle-jna,waffle.util,CorsPreFlightCheck.new ArrayList() {...},0,15,0,0,0,5,0,1,0,1
waffle-filter/waffle-jna,waffle.util,AuthorizationHeader,51,120,15,17,11,27,14,14,1,11
waffle-filter/waffle-jna,waffle.util,NtlmServletRequest,3,28,2,2,0,3,2,2,0,2
waffle-filter/waffle-jna,waffle.util,CorsPreFlightCheck,6,63,3,9,2,19,2,6,0,2
waffle-filter/waffle-jna,waffle.util,SPNegoMessage,32,133,8,18,10,18,7,9,0,3
waffle-filter/waffle-jna,waffle.windows.auth,WindowsAccount,8,44,2,2,3,13,3,6,1,6
waffle-filter/waffle-jna,waffle.windows.auth,PrincipalFormat,0,44,0,0,0,5,0,1,0,1
waffle-filter/waffle-jna,waffle.windows.auth.impl,WindowsComputerImpl,18,59,4,3,4,14,4,6,0,5
waffle-filter/waffle-jna,waffle.windows.auth.impl,WindowsCredentialsHandleImpl,10,71,4,4,2,18,4,5,0,5
waffle-filter/waffle-jna,waffle.windows.auth.impl,WindowsDomainImpl.TrustDirection,34,0,0,0,4,0,1,0,1,0
waffle-filter/waffle-jna,waffle.windows.auth.impl,WindowsIdentityImpl,49,91,9,7,9,21,7,11,2,8
waffle-filter/waffle-jna,waffle.windows.auth.impl,WindowsAuthProviderImpl.ContinueContext,0,9,0,0,0,4,0,1,0,1
waffle-filter/waffle-jna,waffle.windows.auth.impl,WindowsAccountImpl,0,36,0,0,0,12,0,8,0,8
waffle-filter/waffle-jna,waffle.windows.auth.impl,WindowsSecurityContextImpl,36,182,13,11,11,50,15,16,2,16
waffle-filter/waffle-jna,waffle.windows.auth.impl,WindowsAuthProviderImpl,119,199,15,13,24,47,17,9,4,7
waffle-filter/waffle-jna,waffle.windows.auth.impl,WindowsDomainImpl.TrustType,74,0,0,0,8,0,1,0,1,0
waffle-filter/waffle-jna,waffle.windows.auth.impl,WindowsIdentityImpersonationContextImpl,17,0,2,0,6,0,3,0,2,0
waffle-filter/waffle-jna,waffle.windows.auth.impl,WindowsDomainImpl,83,0,16,0,23,0,13,0,5,0
waffle-filter/waffle-jna,waffle.windows.auth.impl,WindowsSecurityContextImpersonationContextImpl,30,0,4,0,10,0,4,0,2,0
