GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
waffle-spring-boot-starter/waffle-spring-boot-autoconfigure,waffle.spring.boot,WaffleAutoConfiguration,148,0,2,0,37,0,12,0,11,0
waffle-spring-boot-starter/waffle-spring-boot-autoconfigure,waffle.spring.boot,WaffleProperties,40,0,0,0,16,0,9,0,9,0
waffle-spring-boot-starter/waffle-spring-boot-autoconfigure,waffle.spring.boot,WaffleProperties.SingleSignOnProperties,53,0,0,0,17,0,9,0,9,0
waffle-spring-boot-starter/waffle-spring-security4,waffle.spring,NegotiateSecurityFilter,302,0,24,0,92,0,34,0,22,0
waffle-spring-boot-starter/waffle-spring-security4,waffle.spring,WindowsAuthenticationProvider,160,0,4,0,47,0,20,0,18,0
waffle-spring-boot-starter/waffle-spring-security4,waffle.spring,WindowsAuthenticationToken,82,0,6,0,20,0,13,0,10,0
waffle-spring-boot-starter/waffle-spring-security4,waffle.spring,DelegatingNegotiateSecurityFilter,188,0,10,0,73,0,19,0,14,0
waffle-spring-boot-starter/waffle-spring-security4,waffle.spring,NegotiateSecurityFilterEntryPoint,42,0,2,0,15,0,6,0,5,0
waffle-spring-boot-starter/waffle-spring-security4,waffle.spring,FqnGrantedAuthorityFactory,36,0,4,0,10,0,4,0,2,0
waffle-spring-boot-starter/waffle-spring-security4,waffle.spring,GuestLoginDisabledAuthenticationException,4,0,0,0,2,0,1,0,1,0
